Time,Mapa,Wins,Losses,Win rate,Total rounds,Round win-% after getting first kill,Round win-% after receiving first death
Ninjas in Pyjamas,Anubis,6,9,0.4,314,0.747,0.214
Ninjas in Pyjamas,Inferno,6,6,0.5,253,0.746,0.244
Ninjas in Pyjamas,Overpass,1,8,0.111,236,0.597,0.27699999999999997
Ninjas in Pyjamas,Dust2,1,6,0.14300000000000002,133,0.6,0.205
RED Canids,Mirage,39,22,0.639,1368,0.7390000000000001,0.299
RED Canids,Nuke,35,21,0.625,1235,0.738,0.309
RED Canids,Anubis,28,20,0.583,1045,0.753,0.267
RED Canids,Ancient,21,23,0.47700000000000004,913,0.726,0.262
RED Canids,Vertigo,15,15,0.5,624,0.768,0.259
RED Canids,Dust2,10,13,0.435,517,0.685,0.278
RED Canids,Overpass,13,6,0.684,398,0.7509999999999999,0.29100000000000004
ECLOT,Mirage,41,26,0.612,1471,0.72,0.336
ECLOT,Anubis,38,26,0.594,1386,0.736,0.292
ECLOT,Nuke,30,32,0.484,1334,0.72,0.256
ECLOT,Ancient,30,23,0.5660000000000001,1136,0.746,0.29
ECLOT,Inferno,17,11,0.607,607,0.728,0.33
ECLOT,Dust2,13,11,0.542,512,0.741,0.284
ECLOT,Overpass,9,8,0.529,368,0.736,0.21600000000000003
ECLOT,Vertigo,2,6,0.25,163,0.628,0.17600000000000002
Rare Atom,Ancient,14,13,0.519,576,0.7440000000000001,0.307
Rare Atom,Anubis,15,12,0.556,538,0.7140000000000001,0.297
Rare Atom,Inferno,16,10,0.615,577,0.728,0.314
Rare Atom,Mirage,7,13,0.35,450,0.679,0.255
Rare Atom,Vertigo,8,5,0.615,271,0.757,0.326
Rare Atom,Dust2,4,5,0.444,191,0.711,0.27699999999999997
Rare Atom,Overpass,4,1,0.8,109,0.812,0.267
Monte,Mirage,34,30,0.531,1364,0.7190000000000001,0.282
Monte,Nuke,24,22,0.522,1030,0.732,0.278
Monte,Ancient,22,21,0.512,921,0.74,0.304
Monte,Anubis,25,17,0.595,968,0.723,0.297
Monte,Vertigo,19,19,0.5,831,0.7,0.27899999999999997
Monte,Dust2,11,8,0.579,388,0.775,0.319
Monte,Overpass,2,3,0.4,112,0.7040000000000001,0.22399999999999998
Monte,Inferno,1,0,1.0,22,0.625,0.5
Nemiga,Ancient,54,25,0.684,1734,0.758,0.34299999999999997
Nemiga,Anubis,36,20,0.643,1266,0.721,0.327
Nemiga,Inferno,17,15,0.531,707,0.6890000000000001,0.268
Nemiga,Vertigo,18,12,0.6,643,0.7120000000000001,0.322
Nemiga,Mirage,14,12,0.5379999999999999,578,0.7509999999999999,0.278
Nemiga,Dust2,11,8,0.579,447,0.723,0.341
Nemiga,Nuke,6,8,0.429,283,0.662,0.297
ENCE,Ancient,14,19,0.424,708,0.7240000000000001,0.254
ENCE,Nuke,10,16,0.385,545,0.7140000000000001,0.247
ENCE,Vertigo,14,8,0.636,488,0.7170000000000001,0.313
ENCE,Mirage,9,12,0.429,434,0.67,0.272
ENCE,Anubis,11,10,0.524,446,0.7340000000000001,0.29100000000000004
ENCE,Dust2,5,7,0.41700000000000004,269,0.685,0.252
ENCE,Overpass,1,5,0.16699999999999998,119,0.53,0.18899999999999997
BESTIA,Anubis,32,33,0.49200000000000005,1412,0.753,0.27
BESTIA,Inferno,35,20,0.636,1247,0.752,0.33299999999999996
BESTIA,Mirage,30,23,0.5660000000000001,1086,0.72,0.322
BESTIA,Ancient,17,22,0.436,871,0.701,0.27399999999999997
BESTIA,Dust2,21,16,0.568,775,0.737,0.307
BESTIA,Nuke,20,17,0.541,726,0.725,0.292
BESTIA,Overpass,2,4,0.33299999999999996,112,0.745,0.193
TYLOO,Inferno,11,10,0.524,492,0.722,0.299
TYLOO,Anubis,14,6,0.7,388,0.789,0.36
TYLOO,Nuke,14,5,0.737,367,0.7659999999999999,0.35200000000000004
TYLOO,Ancient,7,11,0.389,377,0.73,0.218
TYLOO,Mirage,11,4,0.733,316,0.777,0.341
TYLOO,Overpass,1,6,0.14300000000000002,146,0.672,0.17600000000000002
TYLOO,Vertigo,5,1,0.833,126,0.762,0.413
9 Pandas,Nuke,34,23,0.596,1198,0.7759999999999999,0.307
9 Pandas,Anubis,22,23,0.489,962,0.6920000000000001,0.305
9 Pandas,Mirage,23,16,0.59,831,0.76,0.28300000000000003
9 Pandas,Ancient,23,16,0.59,788,0.738,0.317
9 Pandas,Inferno,20,11,0.645,705,0.7390000000000001,0.336
9 Pandas,Dust2,23,7,0.767,652,0.8170000000000001,0.349
9 Pandas,Overpass,11,10,0.524,490,0.75,0.278
9 Pandas,Vertigo,0,2,0.0,38,0.529,0.14300000000000002
NAVI Junior,Ancient,38,15,0.7170000000000001,1138,0.767,0.33399999999999996
NAVI Junior,Anubis,29,8,0.784,789,0.7909999999999999,0.353
NAVI Junior,Nuke,14,18,0.43799999999999994,652,0.655,0.307
NAVI Junior,Mirage,14,14,0.5,619,0.7020000000000001,0.282
NAVI Junior,Dust2,14,6,0.7,446,0.755,0.36200000000000004
NAVI Junior,Inferno,10,9,0.526,402,0.684,0.337
NAVI Junior,Vertigo,1,2,0.33299999999999996,64,0.8,0.231
NAVI Junior,Overpass,0,2,0.0,43,0.706,0.192
Sashi,Nuke,36,20,0.643,1268,0.754,0.327
Sashi,Mirage,25,26,0.49,1130,0.728,0.28300000000000003
Sashi,Vertigo,27,16,0.628,909,0.752,0.32
Sashi,Anubis,17,25,0.405,889,0.727,0.251
Sashi,Ancient,18,17,0.514,759,0.722,0.29100000000000004
Sashi,Inferno,16,4,0.8,461,0.726,0.33799999999999997
Sashi,Overpass,10,3,0.769,280,0.752,0.382
Sashi,Dust2,1,1,0.5,38,0.588,0.28600000000000003
Lynn Vision,Ancient,13,14,0.48100000000000004,590,0.7340000000000001,0.27699999999999997
Lynn Vision,Anubis,13,12,0.52,506,0.768,0.281
Lynn Vision,Nuke,9,10,0.474,373,0.72,0.307
Lynn Vision,Inferno,9,8,0.529,379,0.711,0.29600000000000004
Lynn Vision,Dust2,9,6,0.6,317,0.7490000000000001,0.3
Lynn Vision,Vertigo,2,5,0.28600000000000003,150,0.632,0.324
Lynn Vision,Overpass,1,2,0.33299999999999996,61,0.727,0.28600000000000003
500,Mirage,25,15,0.625,913,0.748,0.32899999999999996
500,Anubis,14,21,0.4,820,0.685,0.297
500,Ancient,18,12,0.6,669,0.732,0.309
500,Inferno,15,8,0.652,502,0.6990000000000001,0.326
500,Nuke,8,11,0.42100000000000004,418,0.664,0.272
500,Overpass,10,7,0.588,366,0.7490000000000001,0.322
500,Dust2,3,4,0.429,153,0.675,0.25
500,Vertigo,0,1,0.0,20,0.455,0.222
OG,Ancient,21,21,0.5,885,0.741,0.254
OG,Anubis,12,16,0.429,635,0.76,0.259
OG,Inferno,6,15,0.28600000000000003,472,0.664,0.258
OG,Dust2,7,10,0.41200000000000003,372,0.7440000000000001,0.245
OG,Vertigo,10,7,0.588,381,0.745,0.312
OG,Mirage,7,7,0.5,293,0.743,0.28800000000000003
OG,Nuke,6,5,0.545,235,0.6890000000000001,0.292
OG,Overpass,4,6,0.4,205,0.632,0.28600000000000003
SINNERS,Nuke,41,32,0.562,1612,0.73,0.293
SINNERS,Mirage,29,35,0.45299999999999996,1387,0.7070000000000001,0.276
SINNERS,Inferno,33,30,0.524,1401,0.711,0.294
SINNERS,Ancient,33,30,0.524,1392,0.716,0.302
SINNERS,Anubis,22,23,0.489,997,0.728,0.28300000000000003
SINNERS,Dust2,21,18,0.5379999999999999,823,0.698,0.306
SINNERS,Overpass,8,7,0.5329999999999999,333,0.735,0.303
SINNERS,Vertigo,7,2,0.778,199,0.7440000000000001,0.40399999999999997
Spirit Academy,Ancient,16,16,0.5,666,0.727,0.299
Spirit Academy,Nuke,21,9,0.7,670,0.745,0.324
Spirit Academy,Mirage,20,9,0.69,592,0.7559999999999999,0.312
Spirit Academy,Anubis,14,15,0.483,599,0.725,0.256
Spirit Academy,Dust2,14,8,0.636,500,0.7390000000000001,0.28600000000000003
Spirit Academy,Vertigo,16,2,0.889,369,0.792,0.40700000000000003
Spirit Academy,Overpass,0,2,0.0,42,0.611,0.20800000000000002
Spirit Academy,Inferno,1,0,1.0,21,0.846,0.25
Legacy,Ancient,32,20,0.615,1115,0.7559999999999999,0.284
Legacy,Inferno,24,9,0.727,672,0.748,0.324
Legacy,Mirage,21,10,0.677,669,0.779,0.289
Legacy,Anubis,18,13,0.581,686,0.72,0.311
Legacy,Nuke,11,6,0.647,381,0.743,0.35600000000000004
Legacy,Dust2,9,5,0.643,306,0.6990000000000001,0.34299999999999997
Legacy,Overpass,5,4,0.556,197,0.747,0.302
Legacy,Vertigo,3,4,0.429,154,0.632,0.337
NRG,Ancient,28,23,0.5489999999999999,1052,0.741,0.32
NRG,Mirage,27,13,0.675,852,0.775,0.326
NRG,Inferno,30,10,0.75,778,0.7709999999999999,0.363
NRG,Anubis,22,16,0.579,788,0.76,0.3
NRG,Vertigo,16,6,0.727,448,0.753,0.335
NRG,Dust2,13,6,0.684,394,0.7659999999999999,0.384
NRG,Nuke,6,5,0.545,253,0.76,0.295
NRG,Overpass,6,3,0.667,164,0.812,0.265
