Ranking HLTV,Pontos HLTV,Time,Line,Nacionalidade,Posição Ranking Valve,Perfil do time,Perfil de Estatisticas,Maps Played,Wins,Losses,Total Kills,Rounds Played,K/D Ratio
39,40,BESTIA,"Noktse, luchov, naz, tomaszin",Argentina,43,https://www.hltv.org/team/12144/bestia,https://www.hltv.org/stats/teams/12144/bestia?startDate=2024-01-01&endDate=2024-12-16,292,157,135,20874,6229,1.0
40,37,TYLOO,"aumaN, Starry, Jee, Mercury, Moseyuh",China,81,https://www.hltv.org/team/4863/tyloo,https://www.hltv.org/stats/teams/4863/tyloo?startDate=2024-01-01&endDate=2024-12-16,106,63,43,7631,2212,1.09
41,37,9 Pandas,"shalfey, d1Ledez, r3salt",Russia,30,https://www.hltv.org/team/11883/9-pandas,https://www.hltv.org/stats/teams/11883/9-pandas?startDate=2024-01-01&endDate=2024-12-16,264,156,108,19276,5664,1.06
42,33,NAVI Junior,"dem0n, Krabeni, makazze, cmtry, dziugss",Europe,47,https://www.hltv.org/team/10371/navi-junior,https://www.hltv.org/stats/teams/10371/navi-junior?startDate=2024-01-01&endDate=2024-12-16,194,120,74,14331,4153,1.05
43,32,Sashi,"Lucky, Altekz, Cabbi, IceBerg, MistR",Denmark,58,https://www.hltv.org/team/11712/sashi,https://www.hltv.org/stats/teams/11712/sashi?startDate=2024-01-01&endDate=2024-12-16,262,150,112,19080,5734,0.99
44,32,Lynn Vision,"Westmelon, z4kr, EmiliaQAQ, afufu",China,78,https://www.hltv.org/team/8840/lynn-vision,https://www.hltv.org/stats/teams/8840/lynn-vision?startDate=2024-01-01&endDate=2024-12-16,113,56,57,7952,2376,1.02
45,31,500,"SPELLAN, CeRq, SHiPZ, Rainwaker, oxygeN",Bulgaria,53,https://www.hltv.org/team/12000/500,https://www.hltv.org/stats/teams/12000/500?startDate=2024-01-01&endDate=2024-12-16,172,93,79,12887,3861,1.02
46,31,OG,"F1KU, Buzz, MoDo, Chr1zN",Europe,70,https://www.hltv.org/team/10503/og,https://www.hltv.org/stats/teams/10503/og?startDate=2024-01-01&endDate=2024-12-16,160,73,87,11343,3478,0.96
47,30,SINNERS,"oskar, beastik, SHOCK, MoriiSko, majky",Czech Republic,59,https://www.hltv.org/team/10577/sinners,https://www.hltv.org/stats/teams/10577/sinners?startDate=2024-01-01&endDate=2024-12-16,371,194,177,27186,8144,0.98
48,29,Spirit Academy,"robo, syph0, alkarenn, Mokuj1n, kyousuke",Russia,46,https://www.hltv.org/team/7900/spirit-academy,https://www.hltv.org/stats/teams/7900/spirit-academy?startDate=2024-01-01&endDate=2024-12-16,163,102,61,11952,3459,1.04
49,28,Legacy,"NEKIZ, dumau, latto, saadzin",Brazil,52,https://www.hltv.org/team/12468/legacy,https://www.hltv.org/stats/teams/12468/legacy?startDate=2024-01-01&endDate=2024-12-16,194,123,71,14499,4180,1.08
50,26,NRG,"nitr0, Brehze, oSee, HexT, Jeorge",United States,37,https://www.hltv.org/team/6673/nrg,https://www.hltv.org/stats/teams/6673/nrg?startDate=2024-01-01&endDate=2024-12-16,230,148,82,16823,4729,1.12
